tic_id,sector_run
4377554,20-20
4377554,44-44
4377554,45-45
4377554,46-46
4377554,47-47
4377554,60-60
4378932,32-32
4379255,32-32
4382318,70-70
4386949,20-20
4386949,44-44
4386949,45-45
4386949,46-46
4386949,47-47
4386949,60-60
4386949,71-71
4386949,72-72
4388056,44-44
4388056,45-45
4388056,47-47
4388056,60-60
4388056,46-46
4406955,42-42
4406955,70-70
4407468,42-42
4407468,70-70
4426490,20-20
4426490,44-44
4426490,45-45
4426490,46-46
4426490,47-47
4426490,71-71
4426490,72-72
4429921,20-20
4429921,47-47
4429921,60-60
4430704,44-44
4430704,45-45
4430704,46-46
4430718,20-20
4430718,44-44
4430718,45-45
4430718,46-46
4430718,47-47
4430718,60-60
4431276,20-20
4431276,44-44
4431276,45-45
4431276,46-46
4431276,47-47
4431276,60-60
4431276,71-71
4431276,72-72
4464022,42-42
4464022,70-70
4464307,42-42
4464307,70-70
4487675,44-44
4487675,45-45
4487675,46-46
4487675,47-47
4487675,60-60
4487675,20-20
4490480,20-20
4490480,44-44
4490480,45-45
4490480,46-46
4490480,60-60
4490480,71-71
4490480,72-72
4493532,42-42
4493532,70-70
4493990,42-42
4500825,35-35
4517162,20-20
4517162,44-44
4517162,45-45
4517162,46-46
4517162,60-60
4517162,71-71
4517162,72-72
4552267,42-42
4552267,70-70
4552562,42-42
4552562,70-70
4553187,42-42
4553187,70-70
4581909,42-42
4581909,70-70
4601325,42-42
4601325,70-70
4605846,45-45
4605846,46-46
4605846,47-47
4605846,72-72
4605846,44-44
4605846,60-60
4611069,29-29
4611069,2-2
4611069,42-42
4611069,70-70
4616072,6-6
4616072,33-33
4616072,7-7
4618835,42-42
4618835,70-70
4619242,42-42
4619242,70-70
4621283,4-4
4621283,31-31
4629065,4-4
4629065,31-31
4645276,4-4
4645276,31-31
4645641,31-31
4645641,4-4
4646803,4-4
4646803,31-31
4646810,4-4
4646810,31-31
4647125,4-4
4647125,31-31
4647381,4-4
4647381,31-31
4671422,4-4
4671422,31-31
4697459,4-4
4697459,31-31
4699111,4-4
4699111,31-31
4716922,4-4
4716922,31-31
4723156,4-4
4723156,31-31
4729001,62-62
4735737,22-22
4735737,49-49
4739540,22-22
4739540,49-49
4742129,4-4
4742129,31-31
4742417,4-4
4742417,31-31
4748040,4-4
4748040,31-31
4751714,22-22
4751714,49-49
4751986,22-22
4751986,49-49
4754772,21-21
4754772,48-48
4783276,34-34
4783276,33-33
4803974,35-35
4803974,36-36
4850022,36-36
4896794,21-21
4896794,48-48
4897275,21-21
4897275,48-48
4917919,48-48
4917919,21-21
4918918,21-21
4918918,48-48
4957914,21-21
4957914,48-48
4959676,8-8
4959676,9-9
4959676,35-35
4959676,36-36
4959676,62-62
4970499,35-35
4970499,36-36
4970499,62-62
4971740,48-48
4971740,21-21
4972033,21-21
4972033,48-48
4999380,33-33
5011910,48-48
5011919,48-48
5080227,22-22
5080227,49-49
5080227,76-76
5092088,8-8
5092088,9-9
5092088,35-35
5092088,36-36
5092088,62-62
5109298,33-33
5118666,26-26
5118666,53-53
5205367,26-26
5205367,53-53
5224772,62-62
5260642,53-53
5283033,33-33
5283033,7-7
5295337,8-8
5295337,9-9
5295337,35-35
5295337,36-36
5295337,62-62
5342415,8-8
5342415,35-35
5351341,53-53
5359248,26-26
5359248,53-53
5360702,8-8
5360702,35-35
5364915,8-8
5364915,35-35
5364915,62-62
5367455,33-33
